year,prizes,full_prizes
2019-05-12,北京1注吉林1注山东1注湖北1注湖南1注广东1注贵州2注共8注。,一等奖中奖情况：北京1注吉林1注山东1注湖北1注湖南1注广东1注贵州2注共8注。
2019-05-09,内蒙古1注上海5注江苏1注湖北1注四川4注共12注。,一等奖中奖情况：内蒙古1注上海5注江苏1注湖北1注四川4注共12注。
2019-05-07,北京2注天津12注河北1注山西3注内蒙古2注辽宁1注黑龙江2注上海5注江苏3注浙江26注安徽3注福建6注江西3注山东7注重庆1注河南5注湖北23注湖南3注广东11注广西1注四川2注贵州3注云南7注陕西16注甘肃2注深圳3注共153注。,一等奖中奖情况：北京2注天津12注河北1注山西3注内蒙古2注辽宁1注黑龙江2注上海5注江苏3注浙江26注安徽3注福建6注江西3注山东7注重庆1注河南5注湖北23注湖南3注广东11注广西1注四川2注贵州3注云南7注陕西16注甘肃2注深圳3注共153注。
2019-05-05,山西1注内蒙古1注吉林1注黑龙江1注江苏1注安徽1注福建1注重庆1注河南1注湖北1注广东1注西藏1注新疆1注共13注。,一等奖中奖情况：山西1注内蒙古1注吉林1注黑龙江1注江苏1注安徽1注福建1注重庆1注河南1注湖北1注广东1注西藏1注新疆1注共13注。
2019-05-02,辽宁1注吉林1注上海1注安徽1注河南1注广东4注云南1注深圳3注共13注。,一等奖中奖情况：辽宁1注吉林1注上海1注安徽1注河南1注广东4注云南1注深圳3注共13注。
2019-04-30,北京1注天津1注黑龙江1注浙江2注河南2注湖北1注新疆1注共9注。,一等奖中奖情况：北京1注天津1注黑龙江1注浙江2注河南2注湖北1注新疆1注共9注。
2019-04-28,河北1注江苏3注湖南1注广东3注共8注。,一等奖中奖情况：河北1注江苏3注湖南1注广东3注共8注。
2019-04-25,广东1注共1注。,一等奖中奖情况：广东1注共1注。
2019-04-23,天津1注黑龙江1注上海5注浙江1注山东1注河南3注湖北1注广东2注海南1注新疆1注共17注。,一等奖中奖情况：天津1注黑龙江1注上海5注浙江1注山东1注河南3注湖北1注广东2注海南1注新疆1注共17注。
2019-04-21,辽宁1注江苏1注广东3注甘肃1注深圳1注共7注。,一等奖中奖情况：辽宁1注江苏1注广东3注甘肃1注深圳1注共7注。
2019-04-18,天津1注浙江4注安徽1注湖南1注广东1注广西1注宁夏1注深圳2注共12注。,一等奖中奖情况：天津1注浙江4注安徽1注湖南1注广东1注广西1注宁夏1注深圳2注共12注。
2019-04-16,山东1注湖北1注共2注。,一等奖中奖情况：山东1注湖北1注共2注。
2019-04-14,河北1注山西1注福建1注山东1注共4注。,一等奖中奖情况：河北1注山西1注福建1注山东1注共4注。
2019-04-11,江西1注河南1注共2注。,一等奖中奖情况：江西1注河南1注共2注。
2019-04-09,北京2注黑龙江1注江西1注河南2注广东1注云南1注共8注。,一等奖中奖情况：北京2注黑龙江1注江西1注河南2注广东1注云南1注共8注。
2019-04-07,江苏3注浙江5注广西1注陕西2注共11注。,一等奖中奖情况：江苏3注浙江5注广西1注陕西2注共11注。
