releaseNo,releaseNoY,year,numbers,total,avg,single,prize,wonPersonCount
1020,100055,2011/7/12(星期二),08243135374119,176,29,4單2雙,100000000,1
1021,100054,2011/7/8(星期五),16183537434707,196,33,4單2雙,100000000,1
1022,100053,2011/7/5(星期二),01021518283226,96,16,2單4雙,179404731,1
1023,100052,2011/7/1(星期五),09232531444902,181,30,5單1雙,0,0
1024,100051,2011/6/28(星期二),11131523273304,122,20,6單0雙,0,0
1025,100050,2011/6/24(星期五),11192127383924,155,26,5單1雙,0,0
1026,100049,2011/6/21(星期二),01101340424641,152,25,2單4雙,0,0
1027,100048,2011/6/17(星期五),01021931474836,148,25,4單2雙,0,0
1028,100047,2011/6/14(星期二),05172131334825,155,26,5單1雙,222688461,1
1029,100046,2011/6/10(星期五),06101929374109,142,24,4單2雙,0,0
1030,100045,2011/6/7(星期二),03082227313914,130,22,4單2雙,0,0
1031,100044,2011/6/3(星期五),08121315354630,129,22,3單3雙,206807662,1
1032,100043,2011/5/31(星期二),05091532384312,142,24,4單2雙,0,0
1033,100042,2011/5/27(星期五),05102432434804,162,27,2單4雙,0,0
1034,100041,2011/5/24(星期二),01161924252621,111,19,3單3雙,174282374,1
1035,100040,2011/5/20(星期五),02333442444710,202,34,2單4雙,0,0
1036,100039,2011/5/17(星期二),01031115264828,104,17,4單2雙,0,0
1037,100038,2011/5/13(星期五),16192129364210,163,27,3單3雙,0,0
1038,100037,2011/5/10(星期二),05122535384228,157,26,3單3雙,0,0
1039,100036,2011/5/6(星期五),06222324364403,155,26,1單5雙,0,0
1040,100035,2011/5/3(星期二),10151824284335,138,23,2單4雙,100000000,1
1041,100034,2011/4/29(星期五),01071617222319,86,14,4單2雙,0,0
1042,100033,2011/4/26(星期二),20373940414508,222,37,4單2雙,199534196,1
1043,100032,2011/4/22(星期五),04212226364641,155,26,1單5雙,0,0
1044,100031,2011/4/19(星期二),22353741464724,228,38,4單2雙,0,0
1045,100030,2011/4/15(星期五),15283738424733,207,35,3單3雙,0,0
1046,100029,2011/4/12(星期二),04061424293345,110,18,2單4雙,0,0
1047,100028,2011/4/8(星期五),09102329373844,146,24,4單2雙,0,0
1048,100027,2011/4/5(星期二),08102024282932,119,20,1單5雙,156656054,2
1049,100026,2011/4/1(星期五),14203032354333,174,29,2單4雙,0,0
1050,100025,2011/3/29(星期二),04101218224024,106,18,0單6雙,0,0
1051,100024,2011/3/25(星期五),01183539434802,184,31,4單2雙,0,0
1052,100023,2011/3/22(星期二),06082024364727,141,24,1單5雙,0,0
1053,100022,2011/3/18(星期五),03152330363728,144,24,4單2雙,0,0
1054,100021,2011/3/15(星期二),04192829304110,151,25,3單3雙,0,0
1055,100020,2011/3/11(星期五),05111321224225,114,19,4單2雙,0,0
1056,100019,2011/3/8(星期二),01062425324738,135,23,3單3雙,0,0
1057,100018,2011/3/4(星期五),12161822232741,118,20,2單4雙,100000000,1
1058,100017,2011/3/1(星期二),03081427314823,131,22,3單3雙,0,0
1059,100016,2011/2/25(星期五),02032028364421,133,22,1單5雙,200210830,1
1060,100015,2011/2/22(星期二),13152032353911,154,26,4單2雙,0,0
1061,100014,2011/2/18(星期五),14202326373833,158,26,2單4雙,0,0
1062,100013,2011/2/15(星期二),09121524333518,128,21,4單2雙,0,0
1063,100012,2011/2/11(星期五),03040734364524,129,22,3單3雙,0,0
1064,100011,2011/2/8(星期二),05062331394116,145,24,5單1雙,364499245,5
1065,100010,2011/2/4(星期五),10334142474903,222,37,4單2雙,0,0
1066,100009,2011/2/1(星期二),01061725404215,131,22,3單3雙,0,0
1067,100008,2011/1/28(星期五),03041318244247,104,17,2單4雙,0,0
1068,100007,2011/1/25(星期二),12131721313920,133,22,5單1雙,0,0
1069,100006,2011/1/21(星期五),02323637394303,189,32,3單3雙,0,0
1070,100005,2011/1/18(星期二),15384042464717,228,38,2單4雙,0,0
1071,100004,2011/1/14(星期五),16172032394546,169,28,3單3雙,0,0
1072,100003,2011/1/11(星期二),07101112142041,74,12,2單4雙,0,0
1073,100002,2011/1/7(星期五),11133435474920,189,32,5單1雙,0,0
1074,100001,2011/1/4(星期二),14192335374742,175,29,5單1雙,134061523,1
1075,099105,2010/12/31(星期五),04092736383902,153,26,3單3雙,0,0
1076,099104,2010/12/28(星期二),02131727313618,126,21,4單2雙,0,0
1077,099103,2010/12/24(星期五),16273943484901,222,37,4單2雙,0,0
1078,099102,2010/12/21(星期二),01122335384526,154,26,4單2雙,336120365,1
1079,099101,2010/12/17(星期五),09252830354112,168,28,4單2雙,0,0
1080,099100,2010/12/14(星期二),15161720324108,141,24,3單3雙,0,0
1081,099099,2010/12/10(星期五),01172226293303,128,21,4單2雙,0,0
1082,099098,2010/12/7(星期二),21223037384934,197,33,3單3雙,0,0
1083,099097,2010/12/3(星期五),17233338434819,202,34,4單2雙,0,0
1084,099096,2010/11/30(星期二),07082434363816,147,25,1單5雙,0,0
1085,099095,2010/11/26(星期五),18222335444926,191,32,3單3雙,0,0
1086,099094,2010/11/23(星期二),02032630324841,141,24,1單5雙,0,0
1087,099093,2010/11/19(星期五),03064043444541,181,30,3單3雙,316571526,1
1088,099092,2010/11/16(星期二),02071012154322,89,15,3單3雙,0,0
1089,099091,2010/11/12(星期五),03102336373915,148,25,4單2雙,0,0
1090,099090,2010/11/9(星期二),05072130313649,130,22,4單2雙,0,0
1091,099089,2010/11/5(星期五),05081316284746,117,20,3單3雙,0,0
1092,099088,2010/11/2(星期二),04052134363928,139,23,3單3雙,0,0
1093,099087,2010/10/29(星期五),04131926272833,117,20,3單3雙,0,0
1094,099086,2010/10/26(星期二),03142235434426,161,27,3單3雙,0,0
1095,099085,2010/10/22(星期五),01040813184903,93,16,3單3雙,0,0
1096,099084,2010/10/19(星期二),12212735363708,168,28,4單2雙,156637753,1
1097,099083,2010/10/15(星期五),01112028304610,136,23,2單4雙,0,0
1098,099082,2010/10/12(星期二),08091020314025,118,20,2單4雙,0,0
1099,099081,2010/10/8(星期五),03111439414806,156,26,4單2雙,0,0
1100,099080,2010/10/5(星期二),14162132354349,161,27,3單3雙,0,0
1101,099079,2010/10/1(星期五),08122337384820,166,28,2單4雙,100000000,1
1102,099078,2010/9/28(星期二),03041922324011,120,20,2單4雙,0,0
1103,099077,2010/9/24(星期五),02082936424422,161,27,1單5雙,0,0
1104,099076,2010/9/21(星期二),01223538394508,180,30,4單2雙,163138908,1
1105,099075,2010/9/17(星期五),12132434353914,157,26,3單3雙,0,0
1106,099074,2010/9/14(星期二),01021922264403,114,19,2單4雙,0,0
1107,099073,2010/9/10(星期五),10141841424924,174,29,2單4雙,0,0
1108,099072,2010/9/7(星期二),03040816414322,115,19,3單3雙,0,0
1109,099071,2010/9/3(星期五),05071820384737,135,23,3單3雙,213340787,1
1110,099070,2010/8/31(星期二),04072023314347,128,21,4單2雙,0,0
1111,099069,2010/8/27(星期五),08142730424729,168,28,2單4雙,0,0
1112,099068,2010/8/24(星期二),06083045474829,184,31,2單4雙,0,0
1113,099067,2010/8/20(星期五),08212833384427,172,29,2單4雙,0,0
1114,099066,2010/8/17(星期二),06141819204209,119,20,1單5雙,0,0
1115,099065,2010/8/13(星期五),02132230364809,151,25,1單5雙,389264522,1
1116,099064,2010/8/10(星期二),03242528384011,158,26,2單4雙,0,0
1117,099063,2010/8/6(星期五),10192122284739,147,25,3單3雙,0,0
1118,099062,2010/8/3(星期二),03131525294909,134,22,6單0雙,0,0
1119,099061,2010/7/30(星期五),08111214233645,104,17,2單4雙,0,0
1120,099060,2010/7/27(星期二),03153338444930,182,30,4單2雙,0,0
1121,099059,2010/7/23(星期五),08152242434907,179,30,3單3雙,0,0
1122,099058,2010/7/20(星期二),05222327294347,149,25,5單1雙,0,0
1123,099057,2010/7/16(星期五),16171820324509,148,25,2單4雙,0,0
1124,099056,2010/7/13(星期二),02050815313412,95,16,3單3雙,0,0
1125,099055,2010/7/9(星期五),11242532333523,160,27,4單2雙,192342912,1
1126,099054,2010/7/6(星期二),05112125434831,153,26,5單1雙,0,0
1127,099053,2010/7/2(星期五),07102023324517,137,23,3單3雙,0,0
1128,099052,2010/6/29(星期二),01041118204805,102,17,2單4雙,0,0
1129,099051,2010/6/25(星期五),11242739464720,194,32,4單2雙,0,0
1130,099050,2010/6/22(星期二),09152628364240,156,26,2單4雙,0,0
1131,099049,2010/6/18(星期五),02051520264808,116,19,2單4雙,237211683,1
1132,099048,2010/6/15(星期二),02041720274424,114,19,2單4雙,0,0
1133,099047,2010/6/11(星期五),01202127424326,154,26,4單2雙,0,0
1134,099046,2010/6/8(星期二),08242540424610,185,31,1單5雙,0,0
1135,099045,2010/6/4(星期五),11152728373904,157,26,5單1雙,0,0
1136,099044,2010/6/1(星期二),02051528354001,125,21,3單3雙,0,0
1137,099043,2010/5/28(星期五),03181920264310,129,22,3單3雙,0,0
1138,099042,2010/5/25(星期二),01203032344303,160,27,2單4雙,327308436,1
1139,099041,2010/5/21(星期五),04121627444739,150,25,2單4雙,0,0
1140,099040,2010/5/18(星期二),03061427283305,111,19,3單3雙,0,0
1141,099039,2010/5/14(星期五),03061621284718,121,20,3單3雙,0,0
1142,099038,2010/5/11(星期二),11132933424502,173,29,5單1雙,0,0
1143,099037,2010/5/7(星期五),19232832384920,189,32,3單3雙,0,0
1144,099036,2010/5/4(星期二),04152332343518,143,24,3單3雙,0,0
1145,099035,2010/4/30(星期五),08353637394420,199,33,3單3雙,0,0
1146,099034,2010/4/27(星期二),12141634354843,159,27,1單5雙,0,0
1147,099033,2010/4/23(星期五),03043045474927,178,30,4單2雙,100000000,1
1148,099032,2010/4/20(星期二),02072123324142,126,21,4單2雙,100000000,1
1149,099031,2010/4/16(星期五),01243031344043,160,27,2單4雙,0,0
1150,099030,2010/4/13(星期二),12143442464925,197,33,1單5雙,100000000,1
1151,099029,2010/4/9(星期五),04052936404926,163,27,3單3雙,102205835,1
1152,099028,2010/4/6(星期二),09232728314144,159,27,5單1雙,0,0
1153,099027,2010/4/2(星期五),01061621414812,133,22,3單3雙,0,0
1154,099026,2010/3/30(星期二),16374146474914,236,39,4單2雙,240418706,1
1155,099025,2010/3/26(星期五),09171923353634,139,23,5單1雙,0,0
1156,099024,2010/3/23(星期二),11222835374849,181,30,3單3雙,0,0
1157,099023,2010/3/19(星期五),05081822294947,131,22,3單3雙,0,0
1158,099022,2010/3/16(星期二),26363739414604,225,38,3單3雙,0,0
1159,099021,2010/3/12(星期五),18192331353822,164,27,4單2雙,0,0
1160,099020,2010/3/9(星期二),05071214163604,90,15,2單4雙,50000000,2
1161,099019,2010/3/5(星期五),03152122353804,134,22,4單2雙,82783447,1
1162,099018,2010/3/2(星期二),02030933343845,119,20,3單3雙,0,0
1163,099017,2010/2/26(星期五),05062232344701,146,24,2單4雙,485538047,1
1164,099016,2010/2/23(星期二),05192340454806,180,30,4單2雙,0,0
1165,099015,2010/2/19(星期五),12142730374336,163,27,3單3雙,0,0
1166,099014,2010/2/16(星期二),05262936434912,188,31,4單2雙,0,0
1167,099013,2010/2/12(星期五),01142331324035,141,24,3單3雙,204521541,1
1168,099012,2010/2/9(星期二),09133234354538,168,28,4單2雙,0,0
1169,099011,2010/2/5(星期五),01051419333616,108,18,4單2雙,105064039,1
1170,099010,2010/2/2(星期二),09151821274146,131,22,5單1雙,0,0
1171,099009,2010/1/29(星期五),16182934444908,190,32,2單4雙,0,0
1172,099008,2010/1/26(星期二),25262833394010,191,32,3單3雙,69918365,1
1173,099007,2010/1/22(星期五),03232431324647,159,27,3單3雙,0,0
1174,099006,2010/1/19(星期二),13242532354505,174,29,4單2雙,248856321,1
1175,099005,2010/1/15(星期五),04072641474903,174,29,4單2雙,0,0
1176,099004,2010/1/12(星期二),01233436464818,188,31,2單4雙,0,0
1177,099003,2010/1/8(星期五),01081921434530,137,23,5單1雙,0,0
1178,099002,2010/1/5(星期二),11182432384047,163,27,1單5雙,0,0
1179,099001,2010/1/1(星期五),02162022232746,110,18,2單4雙,0,0
1180,098104,2009/12/29(星期二),12212529424806,177,30,3單3雙,0,0
1181,098103,2009/12/25(星期五),09122230424727,162,27,2單4雙,66398531,1
1182,098102,2009/12/22(星期二),10111424274732,133,22,3單3雙,0,0
1183,098101,2009/12/18(星期五),03163242434506,181,30,3單3雙,67852858,1
1184,098100,2009/12/15(星期二),04353843444837,212,35,2單4雙,0,0
1185,098099,2009/12/11(星期五),12152029364831,160,27,2單4雙,66918962,1
1186,098098,2009/12/8(星期二),04161927323921,137,23,3單3雙,0,0
1187,098097,2009/12/4(星期五),02031319223921,98,16,4單2雙,303206602,1
1188,098096,2009/12/1(星期二),11232729384940,177,30,5單1雙,0,0
1189,098095,2009/11/27(星期五),01050615192614,72,12,4單2雙,0,0
1190,098094,2009/11/24(星期二),02071323274004,112,19,4單2雙,0,0
1191,098093,2009/11/20(星期五),05131520263135,110,18,4單2雙,0,0
1192,098092,2009/11/17(星期二),01040810344946,106,18,2單4雙,0,0
1193,098091,2009/11/13(星期五),13253233384726,188,31,4單2雙,0,0
1194,098090,2009/11/10(星期二),02072225264244,124,21,2單4雙,0,0
1195,098089,2009/11/6(星期五),01021044454622,148,25,2單4雙,206093741,1
1196,098088,2009/11/3(星期二),05132026293430,127,21,3單3雙,0,0
1197,098087,2009/10/30(星期五),04081220373930,120,20,2單4雙,0,0
1198,098086,2009/10/27(星期二),02122832424623,162,27,0單6雙,0,0
1199,098085,2009/10/23(星期五),05061819213410,103,17,3單3雙,0,0
1200,098084,2009/10/20(星期二),01111214414645,125,21,3單3雙,0,0
1201,098083,2009/10/16(星期五),13152029304301,150,25,4單2雙,34351624,2
1202,098082,2009/10/13(星期二),05132840444943,179,30,3單3雙,0,0
1203,098081,2009/10/9(星期五),10141733404112,155,26,3單3雙,567344206,1
1204,098080,2009/10/6(星期二),09141522263316,119,20,3單3雙,0,0
